Unnamed: 0,junction,node,x,y,latitude,longitude,stream_order,receiver_junction,geometry,node.1,row,col,latitude.1,longitude.1,chi,elevation,flow_distance,drainage_area,m_chi,b_chi,source_key,basin_key,segmented_elevation,dist,sinuosity,gradient,Junction Index,most_common_rocktype_id,RCS_D,LE,ksn_bin,ksn_bin_label,ksn_bin_midpoint
775,2688,232284174,552592.5,6058082.5,54.6673652,-2.18456086,1,2636,POINT (-2.18456086 54.6673652),232284174,11079,10794,54.6673652,-2.18456086,16.727,396.54,141430.0,1252600.0,38.59,-249.01,255,3,396.47,0.0,1.2000999084174573,0.0825746162791755,2688,140.0,"LIMESTONE, SANDSTONE, SILTSTONE AND MUDSTONE",0.552380952,7,34–43,38.533500000000004
776,2693,232657208,526192.5,6058002.5,54.6687096,-2.59387905,1,2672,POINT (-2.59387905 54.6687096),232657208,11095,5514,54.6687096,-2.59387905,12.721,142.32,77246.0,2021000.0,6.7056,57.217,400,4,142.52,0.0,1.3665095970090355,0.0096483859425183,2693,703.0,SANDSTONE,0.628571429,1,6–11,8.492999999999999
777,2694,232729951,535127.5,6057987.5,54.6680313,-2.45534762,1,2695,POINT (-2.45534762 54.6680313),232729951,11098,7301,54.6680313,-2.45534762,17.071,501.85,94887.0,1674400.0,81.136,-884.5,180,2,500.59,0.0,1.3873179207791415,0.0658388521417554,2694,154.0,SILTSTONE,0.495238095,8,43–129,85.96499999999999
778,2695,242469772,530822.5,6055942.5,54.6499353,-2.52230959,2,2696,POINT (-2.52230959 54.6499353),242469772,11507,6440,54.6499353,-2.52230959,10.688,188.06,88275.0,9627700.0,23.123,-59.244,180,2,187.89,0.0,1.3236985679050652,0.0187810817298114,2695,703.0,SANDSTONE,0.628571429,4,20–24,21.8765
779,2696,240340681,528957.5,6056387.5,54.6540449,-2.55116847,2,2594,POINT (-2.55116847 54.6540449),240340681,11418,6067,54.6540449,-2.55116847,8.9752,152.05,85737.0,15426000.0,20.774,-33.847,180,2,152.6,0.0,1.5888516098749583,0.0182684415059462,2696,703.0,SANDSTONE,0.628571429,4,20–24,21.8765
780,2704,233774352,549557.5,6057767.5,54.6648421,-2.23166668,1,2390,POINT (-2.23166668 54.6648421),233774352,11142,10187,54.6648421,-2.23166668,17.082,365.57,145220.0,1448600.0,6.7785,251.26,241,3,367.05,0.0,1.3455779985685483,0.0134444726075462,2704,454.0,LAVA AND TUFF,0.428571429,1,6–11,8.492999999999999
781,2713,234607612,566182.5,6057592.5,54.6613612,-1.97399452,1,2714,POINT (-1.97399452 54.6613612),234607612,11177,13512,54.6613612,-1.97399452,14.633,330.82,87738.0,1251400.0,34.039,-167.59,614,10,330.52,0.0,1.0966240139918877,0.0661511905214461,2713,620.0,"MUDSTONE, SANDSTONE AND LIMESTONE",0.552380952,7,34–43,38.533500000000004
782,2714,235058868,566537.5,6057497.5,54.6604608,-1.96851368,2,2667,POINT (-1.96851368 54.6604608),235058868,11196,13583,54.6604608,-1.96851368,13.924,306.51,87335.0,4271000.0,46.78,-345.41,613,10,305.97,0.0,1.1716215435967872,0.0530874014183131,2714,620.0,"MUDSTONE, SANDSTONE AND LIMESTONE",0.552380952,8,43–129,85.96499999999999
783,2721,235388496,551027.5,6057427.5,54.6616402,-2.20893773,1,2392,POINT (-2.20893773 54.6616402),235388496,11210,10481,54.6616402,-2.20893773,16.031,363.45,144060.0,1422900.0,16.498,100.72,245,3,365.21,0.0,1.252352896194581,0.0305697288923562,2721,9.0,QUARTZ-MICROGABBRO,0.285714286,3,15–20,17.142
784,2736,237630450,556152.5,6056957.5,54.6568721,-2.12958657,1,2398,POINT (-2.12958657 54.6568721),237630450,11304,11506,54.6568721,-2.12958657,16.423,357.29,138220.0,1649600.0,38.925,-279.23,262,3,360.01,0.0,1.2177345247571942,0.0594222954947249,2736,140.0,"LIMESTONE, SANDSTONE, SILTSTONE AND MUDSTONE",0.552380952,7,34–43,38.533500000000004
785,2737,238133085,565457.5,6056852.5,54.6548066,-1.98539768,1,2714,POINT (-1.98539768 54.6548066),238133085,11325,13367,54.6548066,-1.98539768,16.017,388.29,88823.0,1402600.0,39.23,-238.44,613,10,389.88,0.0,1.182881837380955,0.065010804207671,2737,722.0,MUDSTONE,0.619047619,7,34–43,38.533500000000004
786,2738,238209289,588747.5,6056837.5,54.6511112,-1.62450368,1,2739,POINT (-1.62450368 54.6511112),238209289,11328,18025,54.6511112,-1.62450368,11.419,120.25,66819.0,1250400.0,9.0224,15.367,677,13,118.39,0.0,1.4477309985489135,0.0138533484413203,2738,555.0,"MUDSTONE, SILTSTONE AND SANDSTONE",0.552380952,1,6–11,8.492999999999999
788,2750,238681617,567192.5,6056737.5,54.653545,-1.95853619,1,2668,POINT (-1.95853619 54.653545),238681617,11348,13714,54.653545,-1.95853619,14.005,317.71,86621.0,1256100.0,43.269,-288.43,617,10,317.57,0.0,1.1103800151239314,0.0773796073039489,2750,722.0,MUDSTONE,0.619047619,8,43–129,85.96499999999999
789,2751,238794395,535677.5,6056712.5,54.6565349,-2.44697595,1,2752,POINT (-2.44697595 54.6565349),238794395,11353,7411,54.6565349,-2.44697595,16.849,602.72,102370.0,1351700.0,84.024,-809.35,151,2,606.41,0.0,1.294231532717077,0.1280364766295108,2751,154.0,SILTSTONE,0.495238095,8,43–129,85.96499999999999
790,2752,246909690,533272.5,6055017.5,54.641467,-2.48444607,2,2753,POINT (-2.48444607 54.641467),246909690,11692,6930,54.641467,-2.48444607,11.875,226.0,98562.0,6204400.0,53.011,-403.33,151,2,226.16,0.0,1.1302160126693117,0.0603913706340468,2752,372.0,"SILTSTONE AND MUDSTONE, INTERBEDDED",0.495238095,8,43–129,85.96499999999999
791,2753,247826160,533192.5,6054827.5,54.6397648,-2.48570716,2,2754,POINT (-2.48570716 54.6397648),247826160,11730,6914,54.6397648,-2.48570716,11.67,213.55,98329.0,10433000.0,52.852,-401.46,151,2,215.34,0.0,1.2989472733992535,0.0353935151636816,2753,703.0,SANDSTONE,0.628571429,8,43–129,85.96499999999999
792,2754,255177211,532897.5,6053337.5,54.6263941,-2.49044519,2,2755,POINT (-2.49044519 54.6263941),255177211,12028,6855,54.6263941,-2.49044519,10.326,159.79,96356.0,13757000.0,33.856,-188.92,151,2,160.69,0.0,1.1085640412608746,0.0204193267545599,2754,703.0,SANDSTONE,0.628571429,7,34–43,38.533500000000004
793,2755,256670102,533037.5,6053037.5,54.623689,-2.48831064,2,2756,POINT (-2.48831064 54.623689),256670102,12088,6883,54.623689,-2.48831064,10.102,153.03,95989.0,19032000.0,33.929,-189.66,151,2,153.09,0.0,1.2201216868457283,0.0170545898005769,2755,703.0,SANDSTONE,0.628571429,7,34–43,38.533500000000004
794,2756,258434719,532937.5,6052682.5,54.6205053,-2.48989929,3,2757,POINT (-2.48989929 54.6205053),258434719,12159,6863,54.6205053,-2.48989929,9.8652,146.74,95539.0,25091000.0,28.614,-136.17,151,2,146.11,0.0,1.1263054279439055,0.015787035722878,2756,818.0,SANDSTONE,0.619047619,6,28–34,31.032500000000002
795,2757,264278958,532202.5,6051507.5,54.6099934,-2.5014108,4,2758,POINT (-2.5014108 54.6099934),264278958,12394,6716,54.6099934,-2.5014108,9.1384,124.86,93978.0,54291000.0,5.9354,70.763,145,2,125.0,0.0,1.5108020906784727,0.0052397760370351,2757,818.0,SANDSTONE,0.619047619,0,0–6,3.11475
796,2758,262088678,531532.5,6051947.5,54.6139898,-2.51173662,4,2759,POINT (-2.51173662 54.6139898),262088678,12306,6582,54.6139898,-2.51173662,8.7392,120.66,92767.0,57215000.0,15.175,-12.237,145,2,120.38,0.0,1.3436668409215422,0.0065479685081292,2758,818.0,SANDSTONE,0.619047619,3,15–20,17.142
797,2759,263356890,530907.5,6051692.5,54.6117368,-2.5214409,4,2760,POINT (-2.5214409 54.6117368),263356890,12357,6457,54.6117368,-2.5214409,8.4474,116.24,91860.0,59747000.0,13.747,-0.028623,145,2,116.1,0.0,1.3032436461153094,0.0068876089069306,2759,818.0,SANDSTONE,0.619047619,2,11–15,12.7015
798,2760,263904916,530632.5,6051582.5,54.610765,-2.52571022,4,2761,POINT (-2.52571022 54.610765),263904916,12379,6402,54.610765,-2.52571022,8.3257,114.2,91474.0,62151000.0,7.4258,52.488,145,2,114.31,0.0,1.253671867621319,0.0026318372830726,2760,818.0,SANDSTONE,0.619047619,1,6–11,8.492999999999999
799,2761,262560770,529757.5,6051852.5,54.6132437,-2.53923014,4,2762,POINT (-2.53923014 54.6132437),262560770,12325,6227,54.6132437,-2.53923014,7.9706,111.79,90326.0,66558000.0,3.528,83.608,145,2,111.73,0.0,1.481024036205756,0.0062288556035368,2761,818.0,SANDSTONE,0.619047619,0,0–6,3.11475
800,2762,262287189,529387.5,6051907.5,54.6137597,-2.54495356,4,2763,POINT (-2.54495356 54.6137597),262287189,12314,6153,54.6137597,-2.54495356,7.8034,109.46,89772.0,68764000.0,13.037,7.4407,145,2,109.17,0.0,1.4861073777082947,0.0053971902818288,2762,818.0,SANDSTONE,0.619047619,2,11–15,12.7015
801,2763,258856231,527802.5,6052597.5,54.6200503,-2.56943001,5,2764,POINT (-2.56943001 54.6200503),258856231,12176,5836,54.6200503,-2.56943001,7.0438,100.13,87203.0,472530000.0,6.8714,51.648,52,2,100.05,0.0,1.2915323019565697,0.0008383980940057,2763,818.0,SANDSTONE,0.619047619,1,6–11,8.492999999999999
802,2764,260646121,526867.5,6052237.5,54.6168657,-2.58394269,5,2765,POINT (-2.58394269 54.6168657),260646121,12248,5649,54.6168657,-2.58394269,6.8823,99.29,85909.0,477110000.0,10.129,29.643,52,2,99.356,0.0,1.2566960168210373,0.0014079836592954,2764,818.0,SANDSTONE,0.619047619,1,6–11,8.492999999999999
803,2765,258632144,525962.5,6052642.5,54.6205526,-2.59792081,5,2766,POINT (-2.59792081 54.6205526),258632144,12167,5468,54.6205526,-2.59792081,6.7275,97.894,84663.0,482630000.0,10.144,29.54,52,2,97.783,0.0,1.350348428699731,0.0019402521936182,2765,818.0,SANDSTONE,0.619047619,1,6–11,8.492999999999999
804,2766,254329391,525327.5,6053507.5,54.6283584,-2.60767996,5,2596,POINT (-2.60767996 54.6283584),254329391,11994,5341,54.6283584,-2.60767996,6.5484,95.812,83214.0,612610000.0,11.355,21.521,52,2,95.878,0.0,1.45505043752323,0.001437142124446,2766,818.0,SANDSTONE,0.619047619,2,11–15,12.7015
